TIMESTAMP,SYMBOL,avg_chg_oi_CE,avg_chg_oi_PE,avg_price_CE,avg_price_PE,total_contracts_CE,total_contracts_PE,total_open_int_CE,total_open_int_PE,PCR,PRICE,PRICE_NEXT,price_change,price_pct_change,price_rolling_mean,total_oi,total_volume,oi_diff,chg_oi_total,oi_build_up,direction,volatility
215-05-25,BANKNIFTY,0.0,0.0,0.0,478.7,0.0,0.0,0.0,0.0,0.0,239.35,513.0,273.65,1.1433047837894297,348.0575,0.0,0.0,0.0,0.0,neutral,1,0
215-05-26,BANKNIFTY,0.0,0.0,1026.0,0.0,0.0,0.0,0.0,0.0,0.0,513.0,-5037.799192480528,-5550.799192480528,-10.8202713303714,438.3675,0.0,0.0,0.0,0.0,neutral,0,1
215-05-28,BANKNIFTY,0.0,0.0,0.0,-10075.598384961057,0.0,0.0,0.0,0.0,0.0,-5037.799192480528,353.175,5390.9741924805285,-1.0701050173907591,-681.5623384961057,0.0,0.0,0.0,0.0,neutral,1,0
215-06-03,BANKNIFTY,-4780934.848453582,0.0,706.35,0.0,0.0,0.0,0.0,0.0,0.0,353.175,619.75,266.575,0.7547957811283358,-643.6398384961055,0.0,0.0,0.0,-4780934.848453582,neutral,1,0
215-06-10,BANKNIFTY,0.0,0.0,0.0,1239.5,0.0,-170243.34658614543,0.0,0.0,0.0,619.75,178.225,-441.525,-0.7124243646631706,-662.5048384961058,0.0,-170243.34658614543,0.0,0.0,neutral,0,0
215-06-16,BANKNIFTY,0.0,0.0,0.0,356.45,0.0,0.0,0.0,0.0,0.0,178.225,170.825,-7.400000000000006,-0.04152054986674151,-674.7298384961057,0.0,0.0,0.0,0.0,neutral,0,0
215-06-30,BANKNIFTY,0.0,19650.0,0.0,341.65,0.0,22243.0,0.0,330300.0,0.0,170.825,632.65,461.825,2.7034977315966633,-743.1648384961056,330300.0,22243.0,-330300.0,19650.0,bullish,1,1
215-07-09,BANKNIFTY,0.0,4824597.114886365,0.0,1265.3,0.0,0.0,0.0,0.0,0.0,632.65,2.675,-629.975,-0.9957717537342924,390.925,0.0,0.0,0.0,4824597.114886365,bearish,0,0
215-07-14,BANKNIFTY,0.0,3119834.672391483,0.0,5.35,0.0,4.0,0.0,3100.0,0.0,2.675,172.175,169.5,63.36448598130841,320.825,3100.0,4.0,-3100.0,3119834.672391483,bullish,1,1
215-07-23,BANKNIFTY,0.0,0.0,344.35,0.0,-165920.52894247475,0.0,0.0,0.0,0.0,172.175,307.0,134.825,0.78306955132859,231.31,0.0,-165920.52894247475,0.0,0.0,neutral,1,0
215-07-24,BANKNIFTY,100.0,0.0,614.0,0.0,5.0,0.0,250.0,0.0,0.0,307.0,7457.865763052959,7150.865763052959,23.292722355221365,257.06499999999994,250.0,5.0,250.0,100.0,bullish,1,1
215-07-30,BANKNIFTY,0.0,0.0,14915.731526105918,0.0,1.0,0.0,3800.0,0.0,0.0,7457.865763052959,4.725,-7453.140763052958,-0.999366440728471,1714.4731526105916,3800.0,1.0,3800.0,0.0,neutral,0,0
215-07-31,BANKNIFTY,0.0,2125.0,0.0,9.45,0.0,246260.7454707056,0.0,33200.0,0.0,4.725,135.0,130.275,27.571428571428573,1588.888152610592,33200.0,246260.7454707056,-33200.0,2125.0,bullish,1,1
215-08-11,BANKNIFTY,0.0,0.0,270.0,0.0,0.0,0.0,100.0,0.0,0.0,135.0,6864.653270398871,6729.653270398871,49.849283484436086,1615.353152610592,100.0,0.0,100.0,0.0,neutral,1,1
215-08-12,BANKNIFTY,-25.0,0.0,12205.606540797742,1523.7,3.0,0.0,1850.0,0.0,0.0,6864.653270398871,41.225,-6823.428270398871,-0.9939945983611777,2953.848806690366,1850.0,3.0,1850.0,-25.0,neutral,0,0
215-08-14,BANKNIFTY,0.0,17175.0,0.0,82.45,0.0,-310706.1757042524,0.0,48700.0,0.0,41.225,2.0,-39.225,-0.9514857489387507,2900.6938066903663,48700.0,-310706.1757042524,-48700.0,17175.0,bearish,0,0
215-08-20,BANKNIFTY,0.0,0.0,4.0,0.0,2.0,0.0,4625.0,0.0,0.0,2.0,298.825,296.825,148.4125,1409.5206540797744,4625.0,2.0,4625.0,0.0,neutral,1,1
215-08-26,BANKNIFTY,0.0,0.0,0.0,597.65,0.0,0.0,0.0,0.0,0.0,298.825,1572.0,1273.175,4.260604032460471,1468.3406540797744,0.0,0.0,0.0,0.0,neutral,1,1
215-09-07,BANKNIFTY,0.0,3192275.938145732,0.0,3144.0,0.0,249.0,0.0,84100.0,0.0,1572.0,309.8,-1262.2,-0.8029262086513995,1755.7406540797742,84100.0,249.0,-84100.0,3192275.938145732,bearish,0,0
215-09-08,BANKNIFTY,0.0,0.0,619.6,0.0,307114.82751034753,0.0,0.0,0.0,0.0,309.8,222.95,-86.85000000000002,-0.2803421562298258,444.77,0.0,307114.82751034753,0.0,0.0,neutral,0,0
215-09-11,BANKNIFTY,0.0,0.0,0.0,445.9,0.0,0.0,0.0,0.0,0.0,222.95,537.35,314.40000000000003,1.4101816550796145,481.11499999999995,0.0,0.0,0.0,0.0,neutral,1,0
215-09-14,BANKNIFTY,0.0,-3425170.8684429443,0.0,1074.7,0.0,0.0,0.0,0.0,0.0,537.35,185.9,-351.45000000000005,-0.654042988741044,588.1850000000001,0.0,0.0,0.0,-3425170.8684429443,neutral,0,0
215-09-16,BANKNIFTY,0.0,0.0,371.8,0.0,0.0,0.0,0.0,0.0,0.0,185.9,768.375,582.475,3.1332705755782677,565.6,0.0,0.0,0.0,0.0,neutral,1,1
215-09-18,BANKNIFTY,0.0,4390147.11683703,1534.7,2.05,0.0,425.0,0.0,46025.0,0.0,768.375,229.675,-538.7,-0.7010899625833741,404.875,46025.0,425.0,-46025.0,4390147.11683703,bearish,0,0
215-09-28,BANKNIFTY,0.0,0.0,0.0,459.35,0.0,-330615.82625896577,0.0,0.0,0.0,229.675,765.4,535.7249999999999,2.3325351039512348,388.85,0.0,-330615.82625896577,0.0,0.0,neutral,1,1
215-09-29,BANKNIFTY,75.0,0.0,1530.8,0.0,3.0,0.0,75.0,0.0,0.0,765.4,1505.125,739.725,0.9664554481316959,497.34,75.0,3.0,75.0,75.0,bullish,1,0
215-09-30,BANKNIFTY,0.0,0.0,0.0,3010.25,0.0,0.0,0.0,75.0,0.0,1505.125,973.6,-531.525,-0.35314342662569553,690.8950000000001,75.0,0.0,-75.0,0.0,neutral,0,0
215-10-01,BANKNIFTY,0.0,0.0,0.0,1947.2,0.0,0.0,0.0,100.0,0.0,973.6,5.1,-968.5,-0.9947617091207888,848.4350000000001,100.0,0.0,-100.0,0.0,neutral,0,0
215-10-12,BANKNIFTY,-4406004.25910258,0.0,10.2,0.0,5481.0,0.0,-29697703.850664053,0.0,-0.0,5.1,11.025,5.925000000000001,1.1617647058823533,695.78,-29697703.850664053,5481.0,-29697703.850664053,-4406004.25910258,neutral,1,0
215-10-13,BANKNIFTY,0.0,0.0,0.0,22.05,0.0,5.0,0.0,6750.0,0.0,11.025,36.825,25.800000000000004,2.340136054421769,652.05,6750.0,5.0,-6750.0,0.0,neutral,1,1
215-10-16,BANKNIFTY,3195490.440469882,0.0,73.65,0.0,1101.0,0.0,44595276.234480456,0.0,0.0,36.825,7785.977101980586,7749.152101980586,210.43182897435398,506.33500000000004,44595276.234480456,1101.0,44595276.234480456,3195490.440469882,bullish,1,1
215-11-04,BANKNIFTY,-4446803.222108639,0.0,14849.704203961172,722.25,987.0,0.0,20160.0,-31878749.46836256,-1581.2871760100475,7785.977101980586,60.0,-7725.977101980586,-0.9922938381125296,1762.5054203961172,-31858589.46836256,987.0,31898909.46836256,-4446803.222108639,neutral,0,0
215-11-11,BANKNIFTY,0.0,0.0,0.0,120.0,0.0,0.0,0.0,90.0,0.0,60.0,74.0625,14.0625,0.234375,1579.7854203961172,90.0,0.0,-90.0,0.0,neutral,1,0
215-11-16,BANKNIFTY,-390.0,0.0,148.125,0.0,56101.0,0.0,897240.0,0.0,0.0,74.0625,-1905.1481759535238,-1979.2106759535238,-26.723519675321842,1593.5779203961172,897240.0,56101.0,897240.0,-390.0,neutral,0,1
215-11-19,BANKNIFTY,-9120.0,0.0,-3810.2963519070477,0.0,3660.0,0.0,80460.0,0.0,0.0,-1905.1481759535238,0.025,1905.173175953524,-1.0000131223388897,1210.3432852054125,80460.0,3660.0,80460.0,-9120.0,neutral,1,0
